"","Title","Path","Box","Distrubutor","Release Date","Genre","Runtime","MPAA","Budget","Director"
"9155","Metropolitan (2015 re-release)","/movies/?id=metropolitan15.htm",22284,"Rialto","August","Comedy / Drama",98,"PG-13",NA,"Whit Stillman"
"9156","Downloading Nancy","/movies/?id=downloadingnancy.htm",22282,"Strand","June","Drama",102,"Unrated",NA,NA
"9157","Slow Learners","/movies/?id=slowlearners.htm",22272,"IFC","August","Comedy",96,"Unrated",NA,"Don Argott"
"9158","Generation Startup","/movies/?id=generationstartup.htm",22271,"Long Shot Factory","September","Documentary",93,"Unrated",NA,NA
"9159","Ceremony","/movies/?id=ceremony.htm",22270,"Magnolia","April","Comedy",89,"R",NA,"Max Winkler"
"9160","Reparation","/movies/?id=reparation.htm",22267,"Red Dirt Pictures","September","Drama / Thriller",105,"Unrated",NA,NA
"9161","Past Life","/movies/?id=pastlife.htm",22259,"Samuel Goldwyn","June","Foreign",109,"Unrated",NA,NA
"9162","The Elephant King","/movies/?id=elephantking.htm",22251,"Unison Films","October","Drama",92,"R",NA,NA
"9163","I Used to Be Darker","/movies/?id=iusedtobedarker.htm",22214,"Strand","September","Drama",90,"Unrated",NA,NA
"9164","All's Faire in Love","/movies/?id=allsfaireinlove.htm",22180,"Hannover House","October","Comedy",104,"PG-13",NA,NA
"9165","Princess Cut","/movies/?id=princesscut.htm",22167,"Watchman Pictures","July","Romance",97,"Unrated",NA,"Paul Munger"
"9166","Rails & Ties","/movies/?id=railsandties.htm",22136,"Warner Bros.","October","Drama",96,"PG-13",NA,"Alison Eastwood"
"9167","Sanam Teri Kasam","/movies/?id=sanamterikasam.htm",22121,"Eros","February","Romance",154,"Unrated",NA,NA
"9168","Murder 11","/movies/?id=murder11.htm",22107,"Indican","October","Horror Thriller",90,"Unrated",NA,NA
"9169","Hemingway's Garden of Eden","/movies/?id=gardenofeden.htm",22083,"Roadside Attractions","December","Drama",111,"R",NA,NA
"9170","Losing Control","/movies/?id=losingcontrol.htm",22081,"House Lights Media","March","Romantic Comedy",91,"Unrated",NA,NA
"9171","And Everything is Going Fine","/movies/?id=everythingisgoingfine.htm",22080,"IFC","December","Documentary",89,"Unrated",NA,"Steven Soderbergh"
"9172","Pieta","/movies/?id=pieta.htm",22080,"Drafthouse","May","Foreign",104,"Unrated",NA,NA
"9173","Cuba Feliz","/movies/?id=cubafeliz.htm",22071,"Empire","June","Unknown",96,"Unrated",NA,NA
"9174","Four Adventures of Reinette and Mirabelle (2011 re-release)","/movies/?id=fouradventures.htm",22039,"The Film Desk","July","Foreign",95,"Unrated",NA,NA
"9175","Answers to Nothing","/movies/?id=answerstonothing.htm",22029,"Roadside Attractions","December","Drama",123,"R",NA,NA
"9176","Primo Levi's Journey","/movies/?id=primolevisjourney.htm",22026,"Cinema Guild","August","Documentary",91,"Unrated",NA,NA
"9177","Great World of Sound","/movies/?id=greatworldofsound.htm",22011,"Magnolia","September","Comedy",106,"R",NA,NA
"9178","May in the Summer","/movies/?id=mayinthesummer.htm",22004,"Cohen Media Group","August","Comedy / Drama",99,"R",NA,NA
"9179","Maldeamores","/movies/?id=maldeamores.htm",22000,"Maya Entertainment","March","Comedy / Drama",NA,"R",NA,NA
"9180","Giuliani Time","/movies/?id=giulianitime.htm",21967,"Cinema Libre Studio","May","Documentary",118,"Unrated",NA,NA
"9181","My Worst Nightmare","/movies/?id=myworstnightmare.htm",21952,"Strand","October","Foreign",103,"Unrated",NA,NA
"9182","Sing Now or Forever Hold Your Peace","/movies/?id=singnoworforeverholdyourpeace.htm",21908,"Strand","April","Comedy / Drama",96,"R",NA,NA
"9183","Japon","/movies/?id=japon.htm",21900,"Vitagraph","March","Unknown",122,"Unrated",NA,NA
